,0
1187,147261.10959
1188,148973.26959
1189,148260.68959000002
1190,146549.34959
1191,147126.62959
1192,146129.09959
1193,146129.09959
1194,146129.09959
1195,146951.14959000002
1196,149321.76959
1197,149085.60959
1198,149085.60959
1199,149442.30959000002
1200,149442.30959000002
1201,149442.30959000002
1202,148756.78959000003
1203,150430.40959
1204,150699.36959000002
1205,150605.47959
1206,151933.87959
1207,151933.87959
1208,151933.87959
1209,151640.31959000003
1210,152062.20959
1211,150855.57959
1212,150662.05959000002
1213,150471.81959000003
1214,150471.81959000003
1215,150471.81959000003
1216,149817.04959
1217,151749.37959
1218,152017.92959
1219,152891.63959
1220,152355.76959
1221,152355.76959
1222,152355.76959
1223,151761.67959
1224,151447.61959000002
1225,151560.36959000002
1226,152095.41959
1227,152095.41959
1228,152095.41959
1229,152095.41959
1230,153419.71959000002
1231,153078.59959
1232,153283.59959
1233,154268.82959
1234,154268.82959
1235,154268.82959
1236,154268.82959
1237,151996.60959
1238,153071.21959000002
1239,153943.69959
1240,156225.34959
1241,157081.83959000002
1242,157081.83959000002
1243,157081.83959000002
1244,156053.96959000002
1245,156118.74959000002
1246,156473.39959000002
1247,155887.09959
1248,154768.20959
1249,154768.20959
1250,154768.20959
1251,154768.20959
1252,156025.26959
1253,158195.80959000002
1254,158245.82959
1255,157770.22959
1256,157770.22959
1257,157770.22959
1258,158339.71959000002
1259,158104.37959
1260,154051.52959000002
1261,155552.53959000003
1262,152553.79959
1263,152553.79959
1264,152553.79959
1265,154998.21959000002
1266,157148.66959
1267,157306.92959
1268,159011.29959
1269,159629.98959
1270,159629.98959
1271,159629.98959
1272,160809.14959000002
1273,160630.38959
1274,160575.03959000003
1275,160841.53959000003
1276,161597.98959
1277,161597.98959
1278,161597.98959
1279,161597.98959
1280,161506.14959000002
1281,161454.48959
1282,160742.72959
1283,160445.06959000003
1284,160445.06959000003
1285,160445.06959000003
1286,159206.45959
1287,159406.12959
1288,161212.58959000002
1289,157272.89959000002
1290,156527.10959
1291,156527.10959
1292,156527.10959
1293,160244.57959
1294,158951.84959
1295,156878.47959
1296,154777.22959
1297,157789.49959000002
1298,157789.49959000002
1299,157789.49959000002
1300,156945.30959000002
1301,159162.99959000002
1302,160121.16959
1303,161782.89959000002
1304,161946.89959000002
1305,161946.89959000002
1306,161946.89959000002
1307,162996.49959000002
1308,162741.06959000003
1309,163208.87959
1310,160803.81959000003
1311,160707.05959000002
1312,160707.05959000002
1313,160707.05959000002
1314,161834.14959000002
1315,160601.27959000002
1316,159724.69959
1317,160560.27959000002
1318,163226.09959
1319,163226.09959
1320,163226.09959
1321,163084.64959000002
1322,162570.50959000003
1323,163158.44959
1324,165084.62959
1325,165084.62959
1326,165084.62959
1327,165084.62959
1328,167464.26959
1329,167301.49959000002
1330,167547.90959
1331,168253.92959
1332,169550.75959000003
1333,169550.75959000003
1334,169550.75959000003
1335,169517.54959
1336,170075.14959000002
1337,169381.01959
1338,171257.17959
1339,171874.22959000003
1340,171874.22959000003
1341,171874.22959000003
1342,170963.61959000002
1343,169802.49959
1344,171380.17959
1345,169804.13959
1346,171656.92959
1347,171656.92959
1348,171656.92959
1349,171962.37959
1350,171925.47959000003
1351,171780.33959000002
1352,171780.33959000002
1353,172940.22959000003
1354,171697.92959
1355,171697.92959
1356,171697.92959
1357,172169.01959
1358,171021.01959
1359,171141.14959000002
1360,172536.37959
1361,173806.55959000002
1362,173806.55959000002
1363,173806.55959000002
1364,171995.58959000002
1365,170506.05959000002
1366,166854.59959
1367,168882.45959
1368,171397.80959000002
1369,171397.80959000002
1370,171397.80959000002
1371,170964.84959
1372,169510.98959
1373,169012.83959000002
1374,170793.87959
1375,170660.21959
1376,170660.21959
1377,170660.21959
1378,172349.00959000003
1379,171983.28959000003
1380,172305.54959
1381,172506.03959000003
1382,172638.46959
1383,172638.46959
1384,172638.46959
1385,172638.46959
1386,172553.59959
1387,172802.87959
1388,172176.80959000002
1389,173695.44959000003
1390,173695.44959000003
1391,173695.44959000003
1392,173557.27959000002
1393,173587.61959000002
1394,173271.50959000003
1395,174076.33959000002
1396,174414.99959
1397,174414.99959
1398,174414.99959
1399,174731.10959
1400,174380.14959000002
1401,173441.65959
1402,173366.21959
1403,171094.40959
1404,171094.40959
1405,171094.40959
1406,173486.34959
1407,174373.99959
1408,174185.39959000002
1409,175196.04959
1410,175778.65959
1411,175778.65959
1412,175778.65959
1413,176184.96959
1414,176233.75959000003
1415,176467.45959
1416,177387.49959
1417,178715.89959000002
1418,178715.89959000002
1419,178715.89959000002
1420,178715.89959000002
1421,178355.09959
1422,178953.28959000003
1423,177423.57959
1424,179421.50959000003
1425,179421.50959000003
1426,179421.50959000003
1427,180039.78959000003
1428,179407.56959000003
1429,179616.25959000003
1430,179031.18959
1431,177683.51959
1432,177683.51959
1433,177683.51959
1434,174868.04959
1435,177515.41959000003
1436,178976.24959
1437,179336.63959
1438,181153.34959
1439,181153.34959
1440,181153.34959
1441,181584.25959000003
1442,180729.81959000003
1443,180696.19959000003
1444,181455.10959
1445,180475.61959000002
1446,180475.61959000002
1447,180475.61959000002
1448,180143.51959
1449,181619.10959
1450,180779.01959
1451,181863.05959000002
